Position (mm),Force (N)
0.018898836,1745.5625
0.019958361,1753.875
0.003267886,1761.1875
0.019202411,1848.5
0.022886936,1768.8125
0.006446462,1800.625
-0.000494013,1843.4375
0.022565512,1836.75
0.021000037,1816.0625
0.003059563,1851.375
0.006494088,1852.6875
0.021303614,1931.5
0.002113139,1854.8125
0.012047665,1935.625
0.007107191,1950.4375
0.004166717,1889.75
0.013226243,1931.0625
0.020035769,1905.875
0.012095295,1912.6875
0.002279821,1916
0.018339347,1999.3125
0.011148873,1990.125
0.0197084,2024.4375
0.020642926,2051.75
0.011827453,1983.0625
0.020136979,2011.375
0.004571506,2068.6875
0.023006033,2064
0.01081556,2023.3125
0.009875087,2088.625
0.003684614,2023.4375
0.010994141,2082.25
0.012053669,2113.0625
0.005613196,2053.875
0.007922724,2139.1875
0.017982252,2101
0.00141678,2164.8125
0.006226308,2108.125
0.006910836,2172.4375
0.013845364,2136.75
0.008654893,2156.5625
0.009464421,2186.875
0.00564895,2222.1875
0.005083479,2208.5
0.012768008,2252.8125
0.013702537,2263.125
0.003637067,2196.4375
0.014446596,2196.25
0.015131126,2264.5625
0.014565656,2256.875
0.014750186,2234.1875
0.007934717,2319
0.013244247,2269.8125
0.017928778,2248.125
0.023613309,2261.9375
0.01917284,2281.75
0.006857372,2316.0625
0.020291903,2313.875
0.015226435,2350.1875
0.002410967,2392
0.0053455,2331.8125
0.025405032,2419.125
0.006839565,2410.4375
0.008899098,2387.75
0.013333632,2374.0625
0.019768165,2456.375
0.004577699,2431.6875
0.018762234,2388.5
0.003946768,2406.3125
0.015631303,2442.125
0.017815838,2472.9375
0.021375374,2491.25
0.01268491,2497.5625
0.013619446,2467.375
0.016553982,2524.1875
0.027488519,2558
0.011548057,2534.3125
0.013232594,2493.125
0.008667132,2506.4375
0.013476671,2586.25
0.026286209,2529.5625
0.019845749,2521.875
0.007405288,2544.6875
0.019589828,2582.5
0.022774369,2635.8125
0.02083391,2577.625
0.007518451,2621.4375
0.024577993,2615.75
0.013387535,2670.5625
0.016322078,2688.875
0.027381621,2645.6875
0.004816165,2654
0.008625709,2719.8125
0.021685254,2721.125
0.0093698,2734.4375
0.011804346,2659.75
0.021238892,2701.0625
0.016173439,2711.875
0.015607987,2770.1875
0.025542535,2762.5
0.018977084,2793.3125
0.021786634,2732.125
0.005596184,2732.9375
0.008530735,2830.75
0.019465286,2808.5625
0.013149839,2838.375
0.017459392,2781.1875
0.018643945,2785.5
0.0283285,2793.3125
0.017263055,2825.125
0.014947611,2829.4375
0.012507167,2859.25
0.006566725,2917.5625
0.029751283,2911.875
0.012435842,2897.6875
0.019370402,2904.5
0.012304963,2896.3125
0.019239525,2917.625
0.024924088,2962.9375
0.019108651,2924.25
0.028793216,2928.5625
0.011477781,3002.875
0.012912348,2972.1875
0.007471915,2986.5
0.013781483,2942.8125
0.025591053,3042.625
0.013275623,2989.9375
0.022460195,3007.75
0.019019768,2985.0625
0.019579342,3086.875
0.023138917,3008.6875
0.018448493,3095.5
0.03113307,3074.8125
0.019067649,3033.625
0.013252228,3063.4375
0.007436809,3137.25
0.012996392,3160.5625
0.010055975,3087.875
0.03149056,3121.6875
0.012925147,3114.5
0.015734734,3149.8125
0.025419323,3205.625
0.021853914,3199.9375
0.023538506,3159.25
0.0193481,3201.0625
0.027657695,3243.375
0.025592291,3257.6875
0.014776889,3192.5
0.028211489,3217.3125
0.01402109,3275.125
0.014705693,3261.9375
0.029890298,3275.25
0.009199905,3274.0625
0.023884513,3240.875
0.011319123,3283.1875
0.015378734,3322.5
0.024688348,3355.8125
0.021247964,3312.625
0.021057581,3312.9375
0.024867201,3327.75
0.026551822,3374.0625
0.030111445,3336.375
0.023671071,3381.1875
0.010230698,3360
0.012790328,3386.3125
0.01622496,3364.625
0.028534594,3410.4375
0.016844231,3436.75
0.022278869,3399.5625
0.01321351,3467.375
0.011523153,3466.1875
0.011582799,3404.5
0.019517447,3479.8125
0.013952098,3492.125
0.032636751,3445.4375
0.009196407,3450.25
0.015631065,3531.0625
0.030440727,3479.875
0.02637539,3517.6875
0.014310057,3579
0.025619726,3529.8125
0.011179398,3562.625
0.010489073,3550.4375
0.031173751,3610.25
0.010358433,3611.0625
0.029168117,3604.875
0.017227804,3611.1875
0.025412494,3583
0.034347188,3618.8125
0.024531884,3642.625
0.019966584,3682.9375
0.034276288,3659.25
0.028085995,3614.0625
0.016645705,3640.375
0.016580419,3712.1875
0.014015136,3692
0.029949857,3661.3125
0.019509582,3660.625
0.03019431,3720.9375
0.022504043,3701.75
0.017313779,3735.5625
0.031123519,3774.875
0.015183263,3770.6875
0.021993011,3791
0.035052764,3748.3125
0.03236252,3802.125
0.033422281,3797.9375
0.017607046,3792.75
0.018041815,3834.5625
0.025351589,3790.875
0.024661368,3814.6875
0.024221151,3856
0.029405939,3809.3125
0.027090731,3890.625
0.024025528,3828.4375
0.031335331,3903.25
0.015020138,3876.0625
0.01295495,3873.375
0.018264767,3928.1875
0.01694959,3944
0.032509418,3902.3125
0.012694251,3983.625
0.027629089,3945.4375
0.029688933,3979.25
0.017998783,3968.0625
0.020808638,3969.375
0.022243499,4038.6875
0.017803366,4043.5
0.017613239,4031.8125
0.014923118,3989.125
0.034608003,4056.4375
0.027917895,4057.25
0.031727792,4052.0625
0.019412696,4017.875
0.036847607,4091.1875
0.029282524,4132
0.016967447,4139.8125
0.034652378,4103.125
0.016712315,4127.4375
0.030772259,4163.75
0.025457211,4150.5625
0.016267169,4169.875
0.014077135,4118.1875
0.030137108,4204
0.023322089,4185.3125
0.027882077,4154.625
0.016692073,4162.9375
0.031377077,4228.25
0.034562088,4258.5625
0.019122108,4208.875
0.035432136,4274.6875
0.017117172,4278
0.021552216,4199.8125
0.017362269,4304.625
0.019172331,4253.4375
0.036482401,4284.25
0.02354248,4259.5625
0.024477568,4282.375
0.033912665,4276.1875
0.032347771,4354
0.038657887,4346.8125
0.029093012,4367.125
0.035528147,4326.4375
0.036213292,4382.75
0.027773446,4324.0625
0.03908361,4393.375
0.024143785,4371.6875
0.022578969,4430.5
0.028264165,4388.8125
0.02744937,4372.125
0.016634587,4411.9375
0.036569814,4389.75
0.034880052,4465.5625
0.022190301,4438.875
0.014750562,4421.1875
0.035310834,4477.5
0.036871118,4480.8125
0.031681413,4501.625
0.02086672,4472.4375
0.03567704,4506.75
0.015862371,4521.0625
0.018797715,4547.375
0.035108071,4509.6875
0.02779344,4541
0.029228822,4559.3125
0.039914217,4536.625
0.038724625,4545.9375
0.035660046,4619.25
0.016595481,4645.0625
0.03853093,4625.875
0.034341392,4646.1875
0.029151869,4651.5
0.03208736,4629.8125
0.040647865,4671.125
0.029958385,4689.9375
0.026143919,4654.75
0.024079469,4664.0625
0.016390034,4689.375
0.031575614,4709.6875
0.034386209,4692
0.033071821,4704.3125
0.039882448,4703.125
0.029068092,4770.4375
0.029003752,4758.25
0.031189428,4792.5625
0.021875121,4724.375
0.029310831,4796.1875
0.028996558,4829.5
0.017932303,4761.8125
0.035493065,4841.625
0.036553845,4820.9375
0.025989644,4851.25
0.02542546,4878.0625
0.034111295,4815.375
0.042047148,4812.1875
0.035483021,4876
0.018293913,4887.8125
0.024854824,4869.625
0.022040754,4854.4375
0.026976705,4907.25
0.017912676,4886.5625
0.026348667,4933.375
0.024284678,4891.6875
0.022095711,4926.5
0.032781765,4971.8125
0.03121784,4924.625
0.025528936,4984.4375
0.021840055,4988.25
0.025276195,5008.0625
0.036337358,5020.375
0.022648544,4973.1875
0.023334752,5021
0.039145984,5066.8125
0.031707239,5088.125
0.039518518,5066.4375
0.037329821,5099.75
0.035266148,5114.5625
0.0255775,5076.375
0.029763877,5100.6875
0.032950279,5085.5
0.038261706,5069.3125
0.024698159,5157.625
0.030259638,5163.4375
0.039696144,5106.75
0.032882676,5147.5625
0.043694235,5171.375
0.043255821,5212.1875
0.019692435,5220.5
0.021129077,5223.8125
0.021190747,5212.625
0.032877445,5176.9375
0.024439173,5229.75
0.024375929,5244.5625
0.029437716,5277.375
0.043624532,5274.6875
0.019686378,5209.5
0.043998254,5309.8125
0.035685162,5253.625
0.036747101,5258.4375
0.039434071,5336.25
0.037621073,5343.0625
0.022433108,5314.875
0.031120175,5353.6875
0.037807275,5343.5
0.025994409,5311.8125
0.022681576,5366.625
0.033243777,5335.9375
0.034806013,5345.75
0.042993284,5405.5625
0.02280559,5422.875
0.044867932,5388.6875
0.022180309,5457.5
0.020992723,5466.3125
0.028555174,5436.625
0.035117662,5437.4375
0.029305188,5505.75
0.024367752,5481.0625
0.032305354,5427.875
0.041367995,5527.1875
0.028305675,5448
0.021243395,5527.8125
0.036931156,5520.125
0.035118956,5535.9375
0.037431798,5505.25
0.038994681,5506.0625
0.040057606,5570.875
0.029620574,5532.6875
0.034683584,5556.5
0.030121637,5541.3125
0.034059734,5547.125
0.040872875,5568.9375
0.045436061,5642.25
0.022124292,5592.0625
0.036312569,5681.875
0.046125891,5648.1875
0.04218926,5668
0.027877677,5644.8125
0.04531614,5632.625
0.032754652,5729.4375
0.033318212,5650.25
0.035881821,5731.5625
0.03432048,5704.875
0.026634188,5707.6875
0.042197947,5702
0.041386758,5763.8125
0.04345062,5767.125
0.046764534,5737.4375
0.0229535,5789.25
0.02651752,5820.5625
0.038706594,5822.875
0.040520722,5784.1875
0.039334905,5823.5
0.045649143,5791.3125
0.044088437,5839.125
0.027152788,5838.4375
0.037342196,5886.25
0.040406661,5835.0625
0.042096185,5823.375
0.037410768,5909.6875
0.04160041,5877
0.028165112,5847.3125
0.028229875,5952.125
0.0332947,5956.4375
0.035734586,5934.25
0.042299534,5934.0625
0.046239546,5897.875
0.033429621,5976.6875
0.024619761,5983
0.030434966,5942.8125
0.027500237,5937.625
0.045440574,5954.9375
0.038255978,5974.75
0.030821449,6055.5625
0.041636989,6042.875
0.048452598,6002.6875
0.034518276,6001.5
0.028459025,6048.8125
0.033274845,6024.125
0.037340737,6114.4375
0.038656701,6080.25
0.043847738,6048.0625
0.034538849,6074.375
0.036355034,6080.6875
0.037546295,6167.5
0.032112632,6143.8125
0.029679045,6157.125
0.028245536,6109.4375
0.037812106,6125.75
0.026753754,6220.5625
0.049695482,6162.375
0.03113729,6182.6875
0.04845418,6224.5
0.028896151,6162.3125
0.036713206,6269.125
0.039030344,6198.4375
0.047722566,6282.25
0.030289874,6293.5625
0.038857268,6293.875
0.031674749,6232.1875
0.038242317,6248.5
0.041559973,6317.3125
0.035002719,6346.125
0.042695555,6343.9375
0.045513483,6345.75
0.042581501,6360.5625
0.049024613,6344.375
0.031717818,6375.6875
0.051411118,6361
0.042604513,6368.3125
0.046548004,6353.625
0.047241592,6349.4375
0.050310278,6441.75
0.043004064,6399.0625
0.041572948,6405.875
0.049516934,6426.6875
0.045086021,6437
0.036655211,6440.8125
0.037724505,6468.125
0.043793903,6417.9375
0.050238406,6455.25
0.037558016,6475.0625
0.043752733,6498.875
0.030447559,6534.6875
0.029392494,6511.5
0.031337539,6501.3125
0.048157695,6571.625
0.041852964,6533.4375
0.050048347,6591.75
0.052368843,6586.0625
0.052689455,6539.875
0.050635184,6608.6875
0.05208103,6583
0.031651994,6601.3125
0.030348079,6636.125
0.039794283,6603.4375
0.03386561,6645.75
0.05231206,6627.5625
0.049383633,6652.875
0.053955332,6615.1875
0.032152156,6693.5
0.032974108,6649.3125
0.050796188,6738.125
0.047368398,6722.4375
0.051440739,6730.75
0.049388211,6690.0625
0.049335817,6741.875
0.044908556,6704.1875
0.037731431,6738
0.031929443,6766.3125
0.053627592,6805.625
0.05057588,6763.4375
0.038024308,6798.75
0.034722878,6768.0625
0.03492159,6815.875
0.048120446,6862.6875
0.040819447,6873.5
0.038893595,6885.3125
0.04234289,6852.625
0.041667334,6808.9375
0.044991928,6891.25
0.041816674,6867.0625
0.041891572,6868.375
0.038341625,6860.6875
0.051291832,6934.5
0.031242197,6944.3125
0.05406772,6922.625
0.035518402,6954.4375
0.036344244,6935.25
0.052795249,6969.0625
0.047246418,7012.375
0.054447751,6965.1875
0.044274251,6981
0.046975918,6991.8125
0.044552755,7032.125
0.037629762,7015.4375
0.052581941,7001.75
0.048534294,6991.5625
0.037611821,7086.875
0.043689525,7077.6875
0.043142407,7100.5
0.034220468,7098.8125
0.04004871,7060.125
0.042127135,7135.9375
0.035205743,7152.25
0.036784536,7107.0625
0.043988517,7147.375
0.052192686,7152.6875
0.052897045,7098.5
0.050726596,7157.8125
0.05355634,7209.625
0.050136279,7139.9375
0.039466414,7199.75
0.047296747,7210.5625
0.03962728,7181.875
0.048833015,7254.6875
0.053163952,7222.5
0.033745094,7248.3125
0.046826442,7272.125
0.035282998,7229.9375
0.049364764,7217.75
0.054071742,7252.0625
0.045528932,7299.375
0.038486337,7248.6875
0.055568959,7289.5
0.046026799,7311.8125
0.04335986,7369.625
0.045318142,7279.9375
0.047401648,7357.75
0.050110379,7304.5625
0.053194338,7334.375
0.037278526,7363.6875
0.049612945,7388
0.057322596,7401.3125
0.059032482,7348.625
0.050367605,7377.4375
0.052952966,7410.75
0.052538568,7405.5625
0.036124412,7423.375
0.0395855,7448.6875
0.059796834,7501
0.052133416,7433.3125
0.044345249,7463.125
0.040682333,7529.4375
0.057394671,7497.75
0.049607266,7514.0625
0.059320118,7546.375
0.054158231,7516.6875
0.048246605,7571
0.036835244,7541.8125
0.038049149,7580.625
0.058388322,7580.4375
0.057102766,7595.75
0.047442482,7598.5625
0.060532473,7604.375
0.060122741,7642.6875
0.059713287,7580
0.036929115,7594.3125
0.060270226,7614.125
0.039236623,7656.9375
0.062078307,7642.25
0.051670281,7661.5625
0.042012547,7638.375
0.038355108,7709.1875
0.041447965,7705.5
0.059041122,7711.8125
0.054259579,7731.625
0.03847834,7748.4375
0.038197407,7781.75
0.054291782,7742.5625
0.054511468,7773.875
0.040856467,7798.6875
0.056326781,7793
0.043922413,7786.8125
0.047893365,7837.125
0.044489639,7805.9375
0.057961239,7774.75
0.055933166,7784.5625
0.056405423,7865.875
0.043628012,7835.1875
0.041600937,7895
0.040324199,7906.8125
0.0499228,7906.625
0.048146745,7918.9375
0.050496034,7919.75
0.054720672,7877.0625
0.043195659,7930.875
0.047921,7960.6875
0.056271696,7976.5
0.048872751,7922.8125
0.049849166,7910.125
0.040825945,7945.4375
0.06017809,7983.25
0.055405604,7929.0625
0.061008491,7973.875
0.061611751,7983.6875
0.058465389,7957
0.055694407,7971.8125
0.054298807,8064.125
0.053653594,8027.9375
0.057008769,8063.25
0.056239335,8073.5625
0.043345295,8065.875
0.065076653,8085.1875
0.059308411,8104
0.042040571,8108.8125
0.055398138,8138.625
0.049381113,8131.9375
0.061614501,8138.25
0.059348303,8108.0625
0.059082523,8118.875
0.046692164,8111.6875
0.064177228,8189.5
0.04566272,8132.3125
0.056023642,8222.125
0.044134997,8181.4375
0.060496789,8189.75
0.05198402,8253.0625
0.050596694,8191.875
0.055459813,8186.6875
0.051198382,8228
0.059812402,8285.3125
0.053051879,8278.125
0.061791814,8263.9375
0.054657211,8315.75
0.053398073,8303.5625
0.060139404,8261.875
0.056006207,8357.6875
0.060498486,8312
0.047366243,8362.8125
0.049109482,8296.125
0.060478207,8341.9375
0.05784742,8316.25
0.067467127,8334.0625
0.056962329,8424.875
0.06033303,8372.1875
0.059204234,8382.5
0.052450945,8455.8125
0.048948166,8412.625
0.051445901,8459.9375
0.050194152,8439.25
0.065692925,8473.5625
0.070692222,8500.375
0.066692047,8492.1875
0.054817404,8512.5
0.056818296,8466.3125
0.065944728,8487.625
0.060696703,8546.9375
0.057449224,8499.75
0.058452297,8517.5625
0.049455923,8541.375
0.052335108,8523.1875
0.071839855,8531
0.054595168,8547.3125
0.069101051,8580.625
0.059857507,8558.4375
0.056989542,8605.75
0.063122158,8648.5625
0.06513036,8620.875
0.057014151,8604.1875
0.065023537,8642.5
0.05928352,8621.3125
0.053419105,8699.125
0.066930296,8624.9375
0.065067098,8633.75
0.065954514,8708.5625
0.050717548,8733.375
0.073481205,8691.1875
0.062995489,8673.5
0.059260405,8674.8125
0.054275955,8781.625
0.050167146,8786.9375
0.060308981,8755.25
0.066076464,8720.0625
0.0655946,8808.375
0.073613394,8796.1875
0.060632849,8830.5
0.06265297,8790.8125
0.062673761,8829.125
0.063695228,8821.4375
0.074217375,8791.75
0.060740205,8858.5625
0.051763725,8829.375
0.061537937,8887.1875
0.073062848,8834
0.076713461,8836.3125
0.059114782,8849.625
0.059391814,8851.4375
0.057169564,8872.25
0.074948035,8893.5625
0.076727232,8904.375
0.05588216,8902.1875
0.077162824,8951.5
0.067819228,8933.8125
0.072851379,8924.625
0.06700928,9015.4375
0.059417936,8995.75
0.068577353,8976.0625
0.075612535,9041.875
0.066273488,8987.1875
0.066185216,8984
0.076722725,9065.3125
0.07888602,9018.625
0.069800106,9090.9375
0.055339987,9060.25
0.07650567,9121.5625
0.069922159,9082.375
0.06521446,9095.1875
0.068507578,9155
0.055926518,9149.8125
0.066221285,9098.625
0.066016886,9181.4375
0.078313324,9139.75
0.077110607,9165.0625
0.062283739,9199.375
0.073207725,9138.6875
0.068007571,9225
0.071183284,9189.3125
0.078484867,9230.125
0.078537327,9234.9375
0.07471567,9249.25
0.061394901,9239.5625
0.069450025,9273.375
0.06075605,9257.1875
0.068562979,9219
0.08237082,9280.3125
0.076679577,9238.625
0.079864257,9284.4375
0.082424865,9298.75
0.079361408,9305.5625
0.076548892,9281.875
0.074987322,9317.1875
0.079176704,9375
0.079617044,9306.3125
0.064808349,9399.625
0.077500624,9396.4375
0.079568876,9399.75
0.078138111,9391.0625
0.076458335,9420.375
0.071904554,9381.6875
0.073226774,9420.5
0.072675002,9379.8125
0.075499244,9464.625
0.084199506,9423.9375
0.081650796,9467.75
0.083478118,9511.5625
0.07180648,9523.375
0.075510888,9458.1875
0.082341349,9505.5
0.075672868,9527.3125
0.087130454,9548.125
0.082214112,9505.9375
0.081298849,9491.75
0.067259671,9586.5625
0.078721586,9594.875
0.0761846,9607.1875
0.08464872,9608
0.073113953,9579.3125
0.065705306,9579.625
0.087422784,9563.4375
0.068766397,9584.75
0.08648615,9605.5625
0.06920705,9629.375
0.074179105,9626.6875
0.084152321,9667.5
0.066501706,9695.8125
0.069852266,9697.125
0.07057901,9713.9375
0.088306944,9682.75
0.078536075,9741.5625
0.084141411,9690.375
0.077247959,9721.1875
0.077980726,9783.5
0.08183972,9780.8125
0.084199949,9766.625
0.071811419,9727.4375
0.086924138,9814.25
0.088538114,9809.5625
0.078653355,9809.875
0.077144867,9774.6875
0.09451266,9795.5
0.072006739,9840.8125
0.093752114,9880.125
0.092748792,9868.4375
0.08574678,9826.25
0.095621087,9819.5625
0.07474672,9851.375
0.096498688,9868.6875
0.081626998,9909.5
0.072756659,9946.3125
0.077762678,9939.625
0.093645064,9930.4375
0.074403824,9932.75
0.096788968,9907.0625
0.097300502,9936.875
0.076438436,9988.6875
0.074327777,9973
0.077343535,9989.3125
0.075860717,10017.625
0.082504332,9989.4375
0.090899388,9977.25
0.077045893,10024.0625
0.083068858,10026.875
0.094718289,9989.6875
0.094119195,10094
0.084271586,10028.3125
0.09042547,10105.125
0.097705856,10032.4375
0.085487752,10105.25
0.091396168,10099.0625
0.100431111,10141.875
0.096842592,10079.1875
0.078505619,10118
0.100545202,10118.3125
0.099586348,10152.125
0.093129068,10184.9375
0.086798371,10168.25
0.086594265,10215.5625
0.08301676,10204.375
0.098690866,10221.6875
0.087241591,10161
0.105293945,10236.3125
0.097097937,10203.125
0.097778577,10236.9375
0.097335874,10280.25
0.106269839,10206.5625
0.09545548,10309.375
0.103017807,10294.6875
0.094456829,10266.5
0.108022558,10340.3125
0.099090002,10313.125
0.102159171,10263.4375
0.108105075,10295.75
0.102802724,10367.0625
0.087877128,10381.375
0.094328297,10364.6875
0.098031242,10315.5
0.088860971,10368.3125
0.111317496,10374.125
0.101775826,10410.9375
0.093860973,10442.75
0.107822945,10453.5625
0.090661754,10465.875
0.08987741,10426.6875
0.098344923,10478.5
0.104814305,10431.8125
0.095785564,10506.125
0.092883713,10485.4375
0.093983762,10457.25
0.111835721,10497.5625
0.094939601,10463.875
0.096045413,10534.1875
0.101153168,10541
0.113387877,10567.3125
0.09874955,10518.125
0.0939882,10595.9375
0.093853836,10588.25
0.10309647,10616.0625
0.098091113,10554.375
0.094712776,10594.1875
0.108711471,10586.5
0.115962209,10617.8125
0.110840002,10593.125
0.11721986,10600.4375
0.101601795,10659.75
0.120735819,10682.5625
0.117371943,10606.875
0.101135179,10682.6875
0.097775539,10664.5
0.104293034,10734.8125
0.103687676,10687.625
0.101084478,10724.4375
0.10110845,10726.75
0.105009606,10759.0625
0.121412956,10737.875
0.115568513,10710.6875
0.11810129,10726
0.109636298,10720.3125
0.111798549,10792.625
0.111838057,10816.4375
0.114129832,10801.75
0.106548889,10844.5625
0.104970238,10801.375
0.104518893,10836.6875
0.112444867,10879.5
0.126373171,10808.3125
0.111428819,10848.125
0.126486823,10907.9375
0.128047196,10917.75
0.122859952,10931.0625
0.115550102,10890.375
0.13086766,10920.6875
0.110312639,10885.5
0.113635053,10894.3125
0.130084913,10971.625
0.116287234,10978.9375
0.114492029,10912.25
0.122824311,10914.0625
0.115409093,11000.375
0.117746389,10993.1875
0.120461213,10979.5
0.117803578,10997.8125
0.128273497,10989.125
0.125870985,10975.4375
0.136096055,11056.75
0.116573721,11072.0625
0.124053997,11024.375
0.127911897,11035.6875
0.119647435,11062.5
0.126135624,11053.3125
0.12662648,11126.125
0.125745016,11086.9375
0.119741246,11100.75
0.140740185,11110.5625
0.130241848,11153.875
0.122746248,11176.6875
0.1335034,11142.5
0.132138319,11184.8125
0.12890102,11135.625
0.144791517,11140.9375
0.136184824,11214.25
0.122705958,11190.5625
0.135604932,11228.375
0.146256762,11242.6875
0.130036462,11210
0.132569048,11247.3125
0.140104535,11220.125
0.145142939,11250.9375
0.129434273,11274.25
0.139228555,11240.0625
0.141900799,11316.375
0.129826021,11309.6875
0.133129236,11255.5
0.13218546,11294.8125
0.148994708,11285.125
0.142931998,11322.4375
0.136747343,11358.75
0.151315761,11305.0625
0.134387267,11344.375
0.139211877,11421.6875
0.155289608,11337
0.137495475,11404.3125
0.157454495,11452.125
0.147791684,11385.4375
0.144007058,11435.25
0.143600635,11480.0625
0.13819743,11480.875
0.152047461,11414.6875
0.153650743,11429.5
0.143382294,11499.8125
0.14799213,11526.125
0.150230269,11474.4375
0.156846727,11504.75
0.149591521,11509.5625
0.143839669,11514.875
0.154716187,11552.1875
0.156721094,11577
0.159604405,11570.8125
0.163491139,11594.125
0.159506314,11529.9375
0.146274946,11592.25
0.161547053,11541.5625
0.165947654,11587.875
0.159601765,11603.6875
0.148384405,11629.5
0.151170592,11638.8125
0.168585343,11591.125
0.172753678,11645.9375
0.173550613,11671.25
0.163726167,11699.0625
0.153780358,11704.375
0.162838206,11714.1875
0.165899727,11740.5
0.162214942,11660.8125
0.170783868,11669.625
0.173231524,11731.9375
0.16443293,11737.25
0.173388103,11728.0625
0.174722063,11721.375
0.172434828,11777.1875
0.176651419,11823.5
0.175621854,11819.3125
0.167096152,11747.125
0.163449332,11816.9375
0.182306415,11810.75
0.16466742,11836.0625
0.168532365,11882.375
0.166651272,11832.1875
0.166399159,11846.5
0.175276047,11858.8125
0.187781955,11892.125
0.169791903,11891.4375
0.168805912,11862.75
0.192449001,11874.0625
0.169346191,11919.875
0.191997502,11937.1875
0.183527955,11927
0.17868757,11990.8125
0.187351367,11974.125
0.193519368,11969.4375
0.187691593,12001.25
0.197743063,11953.5625
0.180673798,11967.875
0.18773382,12017.6875
0.189048151,11979
0.17986681,12030.3125
0.18681482,12070.625
0.192267201,12021.9375
0.183848975,12063.75
0.203685164,12096.5625
0.20390079,12115.375
